recording,target_freq_hz,model_freq_hz,best_score,psprate,kHAP,halflifeHAP,kAHP,halflifeAHP,runtime_s,plot_path
MAL11E,5.873899775444512,5.7138522151389415,0.2229828170639095,400.0,50.0,8.0,0.15,300.0,1200.0,analysis\baseline_fit\mal11e_baseline_compare.png
CBA1R8C1,4.363178974948109,4.857856841592839,0.17412358284898102,340.0,50.0,8.0,0.0,300.0,1200.0,analysis\baseline_fit\cba1r8c1_baseline_compare.png
