MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
52.15218,94.62575
52.28038,95.69766
52.41039,95.98811
52.45128,96.19143
52.81901,96.26961
52.89281,96.3228
52.9195,96.82645
52.91976,96.86555
52.9419,97.70515
52.99301,98.00747
53.09479,98.04629
53.23447,98.15046
54.39725,98.22238
54.70976,99.0165
54.85329,99.07992
55.0327,99.16682
55.35099,99.49323
55.53465,99.57775
55.58319,99.89839
55.65742,99.92387
55.77971,100.44903
55.8405,100.5768
55.87164,100.73494
56.86515,101.17022
56.89713,101.48717
57.13256,101.68342
57.22324,102.25425
57.26887,102.36629
57.38916,102.52365
57.48863,103.2006
57.54664,103.42573
58.06098,103.8743
58.25031,103.98063
58.28926,104.09302
58.31458,104.16481
58.51884,104.65414
58.51996,104.88568
58.52093,104.94659
58.64507,104.99813
59.35667,105.06466
59.44668,105.37996
59.50237,105.43979
59.86042,106.85036
59.95941,106.95786
60.11215,106.99817
60.22358,107.20445
60.44228,107.84768
60.5101,108.18275
60.73955,109.27034
60.86915,109.3242
60.9053,109.4212
61.31279,109.52167
61.33199,109.59871
61.36176,109.86675
61.50323,109.92871
61.81199,109.99158
61.89729,110.25245
62.09545,110.34828
62.23423,111.22939
62.4653,111.26352
62.48907,111.50476
62.68178,111.63969
62.71772,111.93316
63.23925,112.0186
63.27102,112.59017
63.56019,114.22808
63.58646,114.28686
63.60888,114.64431
63.63748,115.07638
63.7023,115.11444
64.14019,115.44488
64.5642,115.50088
64.80089,115.52721
65.06716,115.56403
65.10113,115.61253
65.15495,116.27049
65.23157,116.5132
65.3726,117.10251
65.52356,117.60596
65.67358,117.66458
66.07304,118.58649
66.15305,118.62372
66.31599,118.7868
66.40601,119.02719
66.66247,119.16069
66.69208,119.77767
66.81275,120.14624
66.89975,120.88544
67.13089,121.10229
67.43889,121.23694
67.69159,121.37643
67.82539,121.81967
67.92886,121.94682
67.96676,121.98849
68.39687,122.84203
68.46895,123.12629
68.57092,124.4623
68.62017,124.48118
68.7152,124.64337
68.75176,124.79271
68.87261,124.90999
69.23868,124.95801
69.33234,125.00043
69.82444,125.07338
69.88374,125.13045
69.98978,125.39116
70.38476,125.59597
70.42119,126.70371
70.73614,126.79312
70.85247,127.10011
70.92648,127.37151
71.14059,127.43452
71.16359,127.52126
71.19148,127.57373
71.89685,127.8175
71.92786,127.89649
71.96057,128.18824
72.28571,128.42863
72.30142,128.6165
72.34054,129.03086
72.4395,129.11335
72.50376,129.55618
72.94205,129.61036
72.99471,130.14457
73.22084,131.03597
73.32948,131.1024
73.45579,131.84673
73.74147,132.17468
73.79758,132.55518
73.84231,133.00734
74.02581,133.05009
74.06752,134.46044
74.32626,134.82138
74.50006,134.85991
74.62819,135.26221
74.6532,135.39003
74.85512,135.43875
75.03021,135.56735
75.15859,136.11277
75.84417,136.14572
75.93272,136.18475
75.95589,136.22998
76.06995,136.59921
76.12149,137.54207
76.6505,137.61173
76.96721,138.1633
77.19393,138.29143
77.31464,138.37376
77.36852,138.39348
77.94749,138.98808
77.98008,139.37232
78.32243,139.47636
79.10331,139.88394
79.37844,140.57938
79.48989,140.79793
79.59815,140.86418
79.83348,140.92689
79.97535,141.46948
80.29863,141.82109
80.43969,142.24897
80.58087,142.34653
80.63411,142.37872
81.2275,142.70754
81.31051,144.01894
81.58916,144.09288
